"","Parque","longitude","latitude","ACI","ADI"
"1","Parque #1",-100.31008,25.732614,157.922787459427,2.275396
"2","Parque #2",-100.310483,25.733709,157.901357772906,2.330694
"3","Parque #3",-100.311859,25.734335,155.876383501428,2.328439
"4","Parque #4",-100.309291,25.735133,160.248578918681,1.434398
"5","Parque #5",-100.30652,25.736008,159.317946472778,2.052007
"6","Parque #6",-100.310563,25.736849,162.495380461634,2.295999
"7","Parque #7",-100.310526,25.738464,161.911836429322,2.099096
"8","Parque #8",-100.308797,25.73741,159.191446602432,2.28079
"9","Parque #9",-100.307245,25.737941,160.612190321343,2.225173
"10","Parque #10",-100.305173,25.738574,160.481026221604,2.290647
